"DATANAME","UNIT","TIME","SPACE","SA","TIME_NUM","TIME_lab"
"五歲年齡組性別人口統計","鄉鎮市區","108Y12M","全國","Town",24240,"2019-12"
"五歲年齡組性別人口統計","鄉鎮市區","109Y03M","全國","Town",24243,"2020-03"
"五歲年齡組性別人口統計","鄉鎮市區","109Y06M","全國","Town",24246,"2020-06"
"五歲年齡組性別人口統計","鄉鎮市區","109Y09M","全國","Town",24249,"2020-09"
"五歲年齡組性別人口統計","鄉鎮市區","109Y12M","全國","Town",24252,"2020-12"
"五歲年齡組性別人口統計","鄉鎮市區","110Y03M","全國","Town",24255,"2021-03"
"五歲年齡組性別人口統計","鄉鎮市區","110Y06M","全國","Town",24258,"2021-06"
"五歲年齡組性別人口統計","鄉鎮市區","110Y09M","全國","Town",24261,"2021-09"
"五歲年齡組性別人口統計","鄉鎮市區","110Y12M","全國","Town",24264,"2021-12"
"五歲年齡組性別人口統計","鄉鎮市區","111Y03M","全國","Town",24267,"2022-03"
"五歲年齡組性別人口統計","鄉鎮市區","111Y06M","全國","Town",24270,"2022-06"
"五歲年齡組性別人口統計","鄉鎮市區","111Y09M","全國","Town",24273,"2022-09"
"五歲年齡組性別人口統計","鄉鎮市區","111Y12M","全國","Town",24276,"2022-12"
"五歲年齡組性別人口統計","鄉鎮市區","112Y03M","全國","Town",24279,"2023-03"
"五歲年齡組性別人口統計","鄉鎮市區","112Y06M","全國","Town",24282,"2023-06"
"五歲年齡組性別人口統計","鄉鎮市區","112Y09M","全國","Town",24285,"2023-09"
"五歲年齡組性別人口統計","鄉鎮市區","112Y12M","全國","Town",24288,"2023-12"
"五歲年齡組性別人口統計","鄉鎮市區","113Y06M","全國","Town",24294,"2024-06"
"人口統計","一級發布區","97Y12M","宜蘭縣|嘉義縣|新竹縣|苗栗縣|高雄縣|臺中縣|臺中市|彰化縣|南投縣|臺北市|高雄市|金門縣|連江縣|臺北縣|桃園縣|臺南市|雲林縣|臺南縣|新竹市|嘉義市|屏東縣|臺東縣|花蓮縣|澎湖縣|基隆市","SA1",24108,"2008-12"
"人口統計","一級發布區","98Y12M","高雄縣|臺東縣|臺北市|花蓮縣|高雄市|宜蘭縣|金門縣|澎湖縣|連江縣|新竹縣|臺北縣|基隆市|桃園縣|雲林縣|嘉義縣|苗栗縣|臺中市|臺南縣|臺中縣|新竹市|彰化縣|嘉義市|南投縣|臺南市|屏東縣","SA1",24120,"2009-12"
"人口統計","一級發布區","99Y12M","新竹市|臺南市|臺北市|宜蘭縣|花蓮縣|臺中縣|臺東縣|臺中市|澎湖縣|雲林縣|嘉義縣|高雄縣|基隆市|彰化縣|連江縣|臺南縣|桃園縣|南投縣|屏東縣|金門縣|苗栗縣|高雄市|嘉義市|新竹縣|臺北縣","SA1",24132,"2010-12"
"人口統計","一級發布區","100Y06M","新北市|新竹市|臺南市|苗栗縣|臺中市|臺北市|宜蘭縣|彰化縣|南投縣|臺東縣|桃園縣|花蓮縣|嘉義縣|澎湖縣|新竹縣|基隆市|雲林縣|屏東縣|嘉義市|高雄市|金門縣|連江縣","SA1",24138,"2011-06"
"人口統計","一級發布區","100Y12M","金門縣|南投縣|連江縣|臺中市|嘉義縣|臺南市|臺東縣|宜蘭縣|嘉義市|桃園縣|高雄市|新竹縣|彰化縣|苗栗縣|雲林縣|屏東縣|臺北市|新北市|花蓮縣|澎湖縣|基隆市|新竹市","SA1",24144,"2011-12"
"人口統計","一級發布區","101Y06M","嘉義縣|宜蘭縣|南投縣|雲林縣|臺東縣|屏東縣|臺南市|臺北市|臺中市|新北市|金門縣|桃園縣|高雄市|連江縣|花蓮縣|新竹縣|澎湖縣|苗栗縣|基隆市|彰化縣|新竹市|嘉義市","SA1",24150,"2012-06"
"人口統計","一級發布區","101Y12M","苗栗縣|臺中市|雲林縣|宜蘭縣|彰化縣|澎湖縣|嘉義縣|新竹縣|南投縣|基隆市|臺東縣|臺北市|新北市|新竹市|臺南市|屏東縣|桃園縣|嘉義市|花蓮縣|金門縣|連江縣|高雄市","SA1",24156,"2012-12"
"人口統計","一級發布區","102Y06M","臺南市|金門縣|臺中市|雲林縣|桃園縣|連江縣|澎湖縣|臺北市|苗栗縣|南投縣|嘉義縣|高雄市|新北市|彰化縣|花蓮縣|新竹縣|臺東縣|基隆市|屏東縣|宜蘭縣|新竹市|嘉義市","SA1",24162,"2013-06"
"人口統計","一級發布區","102Y12M","新竹縣|花蓮縣|宜蘭縣|新竹市|彰化縣|新北市|澎湖縣|嘉義市|桃園縣|臺南市|苗栗縣|臺北市|屏東縣|臺東縣|連江縣|臺中市|高雄市|金門縣|南投縣|基隆市|雲林縣|嘉義縣","SA1",24168,"2013-12"
"人口統計","一級發布區","103Y06M","雲林縣|臺東縣|桃園縣|彰化縣|新竹縣|高雄市|臺北市|南投縣|苗栗縣|臺中市|新北市|嘉義縣|臺南市|澎湖縣|金門縣|花蓮縣|連江縣|宜蘭縣|屏東縣|基隆市|新竹市|嘉義市","SA1",24174,"2014-06"
"人口統計","一級發布區","103Y12M","新北市|桃園縣|臺北市|宜蘭縣|高雄市|屏東縣|苗栗縣|新竹縣|澎湖縣|花蓮縣|彰化縣|嘉義縣|基隆市|臺中市|南投縣|臺東縣|新竹市|臺南市|雲林縣|金門縣|嘉義市|連江縣","SA1",24180,"2014-12"
"人口統計","一級發布區","104Y06M","澎湖縣|宜蘭縣|基隆市|屏東縣|新竹市|花蓮縣|嘉義市|臺北市|桃園市|新北市|金門縣|臺南市|連江縣|苗栗縣|彰化縣|南投縣|雲林縣|新竹縣|嘉義縣|臺東縣|高雄市|臺中市","SA1",24186,"2015-06"
"人口統計","一級發布區","104Y12M","南投縣|臺中市|高雄市|雲林縣|新北市|嘉義縣|新竹縣|屏東縣|彰化縣|宜蘭縣|臺東縣|苗栗縣|澎湖縣|花蓮縣|新竹市|基隆市|連江縣|金門縣|臺南市|嘉義市|臺北市|桃園市","SA1",24192,"2015-12"
"人口統計","一級發布區","105Y06M","宜蘭縣|連江縣|新竹縣|新竹市|苗栗縣|南投縣|彰化縣|嘉義市|花蓮縣|雲林縣|臺東縣|臺北市|基隆市|嘉義縣|澎湖縣|臺南市|高雄市|屏東縣|臺中市|金門縣|新北市|桃園市","SA1",24198,"2016-06"
"人口統計","一級發布區","105Y12M","新北市|屏東縣|臺中市|嘉義縣|臺南市|新竹市|桃園市|嘉義市|南投縣|臺北市|連江縣|高雄市|新竹縣|臺東縣|宜蘭縣|金門縣|花蓮縣|雲林縣|澎湖縣|基隆市|苗栗縣|彰化縣","SA1",24204,"2016-12"
"人口統計","一級發布區","106Y06M","宜蘭縣|花蓮縣|新竹縣|澎湖縣|屏東縣|基隆市|臺東縣|新北市|南投縣|臺中市|嘉義縣|臺南市|嘉義市|桃園市|高雄市|金門縣|苗栗縣|彰化縣|雲林縣|新竹市|臺北市|連江縣","SA1",24210,"2017-06"
"人口統計","一級發布區","106Y12M","連江縣|宜蘭縣|高雄市|苗栗縣|南投縣|花蓮縣|新竹市|基隆市|雲林縣|新北市|嘉義市|臺南市|嘉義縣|金門縣|臺北市|屏東縣|新竹縣|澎湖縣|臺中市|桃園市|彰化縣|臺東縣","SA1",24216,"2017-12"
"人口統計","一級發布區","107Y06M","臺東縣|彰化縣|新竹縣|新竹市|澎湖縣|南投縣|苗栗縣|嘉義市|臺中市|雲林縣|花蓮縣|臺北市|桃園市|嘉義縣|基隆市|高雄市|宜蘭縣|屏東縣|新北市|金門縣|臺南市|連江縣","SA1",24222,"2018-06"
"人口統計","一級發布區","107Y12M","嘉義縣|宜蘭縣|苗栗縣|臺北市|屏東縣|高雄市|南投縣|新北市|臺東縣|臺中市|基隆市|新竹縣|花蓮縣|彰化縣|嘉義市|雲林縣|臺南市|澎湖縣|金門縣|新竹市|桃園市|連江縣","SA1",24228,"2018-12"
"人口統計","一級發布區","108Y06M","新竹縣|基隆市|臺東縣|宜蘭縣|澎湖縣|新竹市|高雄市|苗栗縣|臺中市|嘉義市|桃園市|屏東縣|彰化縣|臺北市|南投縣|花蓮縣|雲林縣|新北市|嘉義縣|臺南市|金門縣|連江縣","SA1",24234,"2019-06"
"人口統計","一級發布區","108Y12M","彰化縣|花蓮縣|宜蘭縣|臺東縣|南投縣|基隆市|苗栗縣|澎湖縣|雲林縣|新北市|屏東縣|臺中市|嘉義縣|臺南市|新竹縣|桃園市|新竹市|金門縣|嘉義市|連江縣|臺北市|高雄市","SA1",24240,"2019-12"
"人口統計","一級發布區","109Y06M","苗栗縣|宜蘭縣|南投縣|嘉義市|花蓮縣|臺北市|基隆市|高雄市|臺南市|新北市|金門縣|臺中市|新竹縣|彰化縣|澎湖縣|新竹市|桃園市|連江縣|雲林縣|嘉義縣|屏東縣|臺東縣","SA1",24246,"2020-06"
"人口統計","一級發布區","109Y12M","彰化縣|嘉義縣|雲林縣|屏東縣|澎湖縣|臺東縣|新北市|花蓮縣|臺南市|基隆市|新竹市|嘉義市|臺北市|苗栗縣|南投縣|高雄市|臺中市|宜蘭縣|新竹縣|桃園市|金門縣|連江縣","SA1",24252,"2020-12"
"人口統計","一級發布區","110Y06M","新竹縣|宜蘭縣|彰化縣|苗栗縣|臺東縣|花蓮縣|澎湖縣|基隆市|臺中市|新北市|桃園市|臺南市|金門縣|屏東縣|連江縣|南投縣|雲林縣|嘉義縣|新竹市|嘉義市|臺北市|高雄市","SA1",24258,"2021-06"
"人口統計","一級發布區","110Y12M","臺東縣|金門縣|澎湖縣|連江縣|臺中市|彰化縣|桃園市|南投縣|新竹縣|雲林縣|嘉義縣|新竹市|嘉義市|臺北市|高雄市|宜蘭縣|苗栗縣|屏東縣|花蓮縣|基隆市|新北市|臺南市","SA1",24264,"2021-12"
"人口統計","一級發布區","111Y06M","臺南市|新竹縣|桃園市|彰化縣|金門縣|臺東縣|連江縣|澎湖縣|基隆市|臺北市|新竹市|新北市|嘉義市|高雄市|南投縣|臺中市|雲林縣|宜蘭縣|嘉義縣|苗栗縣|屏東縣|花蓮縣","SA1",24270,"2022-06"
"人口統計","一級發布區","112Y06M","苗栗縣|雲林縣|南投縣|宜蘭縣|花蓮縣|嘉義縣|基隆市|臺北市|嘉義市|屏東縣|臺南市|高雄市|金門縣|臺東縣|新北市|臺中市|新竹縣|彰化縣|澎湖縣|新竹市|桃園市|連江縣","SA1",24282,"2023-06"
"人口統計","一級發布區","112Y12M","嘉義市|新竹縣|臺北市|花蓮縣|高雄市|臺中市|新北市|基隆市|南投縣|桃園市|雲林縣|臺南市|嘉義縣|彰化縣|屏東縣|金門縣|連江縣|臺東縣|宜蘭縣|澎湖縣|苗栗縣|新竹市","SA1",24288,"2023-12"
"人口統計","二級發布區","97Y12M","臺北市|嘉義縣|臺北縣|新竹市|高雄市|桃園縣|宜蘭縣|嘉義市|金門縣|苗栗縣|新竹縣|臺中縣|連江縣|雲林縣|彰化縣|臺南縣|高雄縣|南投縣|基隆市|臺中市|臺南市|屏東縣|臺東縣|花蓮縣|澎湖縣","SA2",24108,"2008-12"
"人口統計","二級發布區","98Y12M","臺北縣|澎湖縣|新竹市|嘉義縣|臺中市|基隆市|嘉義市|高雄縣|臺南市|花蓮縣|臺南縣|高雄市|桃園縣|臺東縣|屏東縣|金門縣|臺北市|宜蘭縣|連江縣|新竹縣|雲林縣|彰化縣|南投縣|苗栗縣|臺中縣","SA2",24120,"2009-12"
"人口統計","二級發布區","99Y12M","連江縣|高雄市|臺北市|高雄縣|臺北縣|金門縣|花蓮縣|臺東縣|澎湖縣|臺中市|基隆市|臺南市|新竹市|屏東縣|嘉義市|宜蘭縣|新竹縣|臺南縣|桃園縣|苗栗縣|臺中縣|彰化縣|南投縣|雲林縣|嘉義縣","SA2",24132,"2010-12"
"人口統計","二級發布區","100Y06M","雲林縣|臺南市|桃園縣|新竹縣|嘉義縣|連江縣|苗栗縣|彰化縣|屏東縣|宜蘭縣|南投縣|澎湖縣|臺東縣|高雄市|花蓮縣|新北市|金門縣|嘉義市|基隆市|臺北市|臺中市|新竹市","SA2",24138,"2011-06"
"人口統計","二級發布區","100Y12M","澎湖縣|嘉義市|苗栗縣|宜蘭縣|南投縣|臺南市|嘉義縣|桃園縣|基隆市|雲林縣|屏東縣|連江縣|臺東縣|臺北市|花蓮縣|彰化縣|高雄市|新竹縣|新北市|新竹市|臺中市|金門縣","SA2",24144,"2011-12"
"人口統計","二級發布區","101Y06M","彰化縣|臺北市|苗栗縣|金門縣|宜蘭縣|嘉義縣|南投縣|屏東縣|桃園縣|臺東縣|連江縣|花蓮縣|新竹縣|雲林縣|嘉義市|澎湖縣|基隆市|新竹市|高雄市|新北市|臺中市|臺南市","SA2",24150,"2012-06"
"人口統計","二級發布區","101Y12M","金門縣|澎湖縣|新竹縣|宜蘭縣|新北市|桃園縣|苗栗縣|南投縣|臺中市|嘉義縣|新竹市|彰化縣|臺南市|雲林縣|臺北市|基隆市|屏東縣|嘉義市|臺東縣|高雄市|花蓮縣|連江縣","SA2",24156,"2012-12"
"人口統計","二級發布區","102Y06M","臺北市|嘉義縣|桃園縣|新竹市|高雄市|臺東縣|新竹縣|屏東縣|嘉義市|花蓮縣|新北市|南投縣|宜蘭縣|臺中市|澎湖縣|彰化縣|基隆市|金門縣|苗栗縣|連江縣|臺南市|雲林縣","SA2",24162,"2013-06"
"人口統計","二級發布區","102Y12M","臺中市|金門縣|臺東縣|臺北市|雲林縣|新竹縣|高雄市|連江縣|桃園縣|苗栗縣|嘉義市|南投縣|屏東縣|新竹市|宜蘭縣|臺南市|新北市|花蓮縣|彰化縣|澎湖縣|基隆市|嘉義縣","SA2",24168,"2013-12"
"人口統計","二級發布區","103Y06M","嘉義縣|澎湖縣|屏東縣|臺北市|花蓮縣|新竹市|苗栗縣|臺中市|金門縣|連江縣|雲林縣|臺南市|南投縣|臺東縣|嘉義市|宜蘭縣|彰化縣|桃園縣|新竹縣|高雄市|基隆市|新北市","SA2",24174,"2014-06"
"人口統計","二級發布區","103Y12M","新竹市|桃園縣|苗栗縣|宜蘭縣|嘉義市|屏東縣|臺北市|花蓮縣|高雄市|基隆市|新竹縣|新北市|臺東縣|臺南市|澎湖縣|臺中市|金門縣|彰化縣|南投縣|雲林縣|嘉義縣|連江縣","SA2",24180,"2014-12"
"人口統計","二級發布區","104Y06M","桃園市|新竹縣|彰化縣|金門縣|連江縣|苗栗縣|雲林縣|新北市|南投縣|臺中市|新竹市|臺南市|嘉義縣|臺北市|基隆市|屏東縣|嘉義市|臺東縣|高雄市|花蓮縣|澎湖縣|宜蘭縣","SA2",24186,"2015-06"
"人口統計","二級發布區","104Y12M","新竹縣|臺南市|臺東縣|桃園市|苗栗縣|金門縣|高雄市|連江縣|彰化縣|臺中市|嘉義縣|南投縣|花蓮縣|宜蘭縣|澎湖縣|雲林縣|基隆市|屏東縣|新竹市|嘉義市|臺北市|新北市","SA2",24192,"2015-12"
"人口統計","二級發布區","105Y06M","新竹縣|新竹市|臺南市|臺東縣|宜蘭縣|嘉義市|花蓮縣|澎湖縣|苗栗縣|臺北市|基隆市|臺中市|金門縣|高雄市|新北市|桃園市|連江縣|彰化縣|屏東縣|南投縣|嘉義縣|雲林縣","SA2",24198,"2016-06"
"人口統計","二級發布區","105Y12M","苗栗縣|雲林縣|宜蘭縣|臺中市|南投縣|嘉義縣|澎湖縣|桃園市|新竹縣|屏東縣|新竹市|金門縣|彰化縣|臺東縣|嘉義市|連江縣|臺北市|新北市|高雄市|臺南市|花蓮縣|基隆市","SA2",24204,"2016-12"
"人口統計","二級發布區","106Y06M","嘉義市|南投縣|臺南市|雲林縣|臺北市|嘉義縣|金門縣|屏東縣|高雄市|連江縣|花蓮縣|新北市|基隆市|臺中市|宜蘭縣|桃園市|苗栗縣|新竹縣|彰化縣|臺東縣|澎湖縣|新竹市","SA2",24210,"2017-06"
"人口統計","二級發布區","106Y12M","宜蘭縣|新竹縣|嘉義縣|雲林縣|臺東縣|苗栗縣|嘉義市|屏東縣|高雄市|彰化縣|臺中市|臺北市|花蓮縣|新北市|澎湖縣|南投縣|基隆市|臺南市|新竹市|桃園市|金門縣|連江縣","SA2",24216,"2017-12"
"人口統計","二級發布區","107Y06M","基隆市|嘉義縣|雲林縣|宜蘭縣|新竹市|臺東縣|屏東縣|新竹縣|花蓮縣|苗栗縣|臺北市|臺中市|澎湖縣|臺南市|新北市|桃園市|嘉義市|金門縣|連江縣|彰化縣|高雄市|南投縣","SA2",24222,"2018-06"
"人口統計","二級發布區","107Y12M","新竹縣|彰化縣|臺東縣|南投縣|澎湖縣|雲林縣|高雄市|嘉義縣|臺中市|金門縣|基隆市|連江縣|新竹市|桃園市|嘉義市|宜蘭縣|臺北市|苗栗縣|屏東縣|花蓮縣|新北市|臺南市","SA2",24228,"2018-12"
"人口統計","二級發布區","108Y06M","連江縣|彰化縣|屏東縣|雲林縣|南投縣|宜蘭縣|臺南市|基隆市|臺東縣|新竹縣|桃園市|苗栗縣|金門縣|臺中市|新竹市|新北市|臺北市|花蓮縣|澎湖縣|嘉義市|高雄市|嘉義縣","SA2",24234,"2019-06"
"人口統計","二級發布區","108Y12M","苗栗縣|臺北市|臺南市|屏東縣|金門縣|高雄市|南投縣|臺東縣|基隆市|宜蘭縣|嘉義市|花蓮縣|新北市|雲林縣|臺中市|嘉義縣|彰化縣|澎湖縣|新竹市|桃園市|連江縣|新竹縣","SA2",24240,"2019-12"
"人口統計","二級發布區","109Y06M","苗栗縣|宜蘭縣|彰化縣|屏東縣|南投縣|花蓮縣|雲林縣|新北市|桃園市|臺南市|金門縣|澎湖縣|連江縣|基隆市|新竹市|嘉義市|臺北市|嘉義縣|臺東縣|高雄市|臺中市|新竹縣","SA2",24246,"2020-06"
"人口統計","二級發布區","109Y12M","基隆市|嘉義市|彰化縣|高雄市|南投縣|金門縣|雲林縣|宜蘭縣|嘉義縣|苗栗縣|新竹市|屏東縣|臺北市|花蓮縣|連江縣|新竹縣|臺東縣|澎湖縣|新北市|臺中市|臺南市|桃園市","SA2",24252,"2020-12"
"人口統計","二級發布區","110Y06M","宜蘭縣|雲林縣|嘉義縣|屏東縣|臺東縣|臺北市|嘉義市|新北市|高雄市|花蓮縣|澎湖縣|基隆市|新竹市|新竹縣|苗栗縣|彰化縣|南投縣|臺中市|臺南市|桃園市|金門縣|連江縣","SA2",24258,"2021-06"
"人口統計","二級發布區","110Y12M","屏東縣|花蓮縣|臺北市|澎湖縣|新北市|基隆市|連江縣|新竹市|雲林縣|宜蘭縣|新竹縣|苗栗縣|彰化縣|臺中市|臺南市|桃園市|金門縣|南投縣|嘉義縣|臺東縣|嘉義市|高雄市","SA2",24264,"2021-12"
"人口統計","二級發布區","111Y06M","基隆市|新竹縣|新竹市|花蓮縣|嘉義市|苗栗縣|臺北市|金門縣|彰化縣|宜蘭縣|南投縣|雲林縣|新北市|屏東縣|臺中市|臺東縣|臺南市|嘉義縣|澎湖縣|桃園市|高雄市|連江縣","SA2",24270,"2022-06"
"人口統計","二級發布區","112Y06M","新竹市|臺中市|臺北市|嘉義市|新北市|臺南市|連江縣|高雄市|雲林縣|桃園市|屏東縣|南投縣|金門縣|嘉義縣|宜蘭縣|臺東縣|新竹縣|花蓮縣|苗栗縣|澎湖縣|彰化縣|基隆市","SA2",24282,"2023-06"
"人口統計","二級發布區","112Y12M","宜蘭縣|南投縣|新竹縣|彰化縣|苗栗縣|嘉義縣|新北市|雲林縣|臺中市|基隆市|臺南市|新竹市|桃園市|嘉義市|屏東縣|臺北市|臺東縣|高雄市|花蓮縣|連江縣|澎湖縣|金門縣","SA2",24288,"2023-12"
"人口統計","最小統計區","97Y12M","苗栗縣|臺南市|新竹市|臺北市|屏東縣|臺中市|嘉義市|高雄市|臺東縣|金門縣|澎湖縣|連江縣|臺北縣|宜蘭縣|基隆市|新竹縣|桃園縣|嘉義縣|花蓮縣|高雄縣|臺中縣|雲林縣|彰化縣|臺南縣|南投縣","SA0",24108,"2008-12"
"人口統計","最小統計區","98Y12M","高雄縣|連江縣|嘉義縣|澎湖縣|臺中市|苗栗縣|屏東縣|基隆市|臺南市|臺中縣|宜蘭縣|金門縣|臺北縣|彰化縣|新竹縣|臺東縣|桃園縣|南投縣|新竹市|雲林縣|高雄市|臺北市|嘉義市|花蓮縣|臺南縣","SA0",24120,"2009-12"
"人口統計","最小統計區","99Y12M","高雄縣|臺南縣|嘉義市|臺東縣|臺北市|屏東縣|花蓮縣|澎湖縣|宜蘭縣|彰化縣|新竹縣|基隆市|臺中縣|南投縣|桃園縣|新竹市|苗栗縣|雲林縣|嘉義縣|臺北縣|臺中市|臺南市|高雄市|金門縣|連江縣","SA0",24132,"2010-12"
"人口統計","最小統計區","100Y06M","苗栗縣|彰化縣|基隆市|屏東縣|宜蘭縣|南投縣|新竹市|臺東縣|新竹縣|雲林縣|嘉義市|嘉義縣|臺北市|金門縣|桃園縣|花蓮縣|連江縣|新北市|臺南市|澎湖縣|高雄市|臺中市","SA0",24138,"2011-06"
"人口統計","最小統計區","100Y12M","彰化縣|花蓮縣|南投縣|澎湖縣|雲林縣|基隆市|屏東縣|臺中市|苗栗縣|新北市|桃園縣|金門縣|臺南市|宜蘭縣|新竹市|新竹縣|嘉義市|臺東縣|臺北市|高雄市|連江縣|嘉義縣","SA0",24144,"2011-12"
"人口統計","最小統計區","101Y06M","新竹市|苗栗縣|新竹縣|雲林縣|嘉義市|桃園縣|彰化縣|嘉義縣|臺北市|花蓮縣|基隆市|屏東縣|高雄市|南投縣|臺南市|臺東縣|新北市|連江縣|宜蘭縣|澎湖縣|臺中市|金門縣","SA0",24150,"2012-06"
"人口統計","最小統計區","101Y12M","屏東縣|新竹縣|宜蘭縣|臺南市|澎湖縣|彰化縣|桃園縣|新竹市|臺東縣|南投縣|苗栗縣|臺中市|雲林縣|金門縣|嘉義縣|嘉義市|臺北市|高雄市|新北市|花蓮縣|基隆市|連江縣","SA0",24156,"2012-12"
"人口統計","最小統計區","102Y06M","嘉義市|新竹市|臺北市|桃園縣|新竹縣|基隆市|澎湖縣|嘉義縣|南投縣|屏東縣|雲林縣|花蓮縣|臺南市|臺東縣|苗栗縣|彰化縣|連江縣|金門縣|新北市|臺中市|宜蘭縣|高雄市","SA0",24162,"2013-06"
"人口統計","最小統計區","102Y12M","新竹縣|新竹市|苗栗縣|臺中市|新北市|臺北市|連江縣|臺南市|南投縣|嘉義市|嘉義縣|金門縣|桃園縣|高雄市|宜蘭縣|彰化縣|屏東縣|基隆市|臺東縣|雲林縣|花蓮縣|澎湖縣","SA0",24168,"2013-12"
"人口統計","最小統計區","103Y06M","南投縣|臺中市|基隆市|金門縣|嘉義縣|臺南市|新竹市|連江縣|臺北市|花蓮縣|屏東縣|苗栗縣|新北市|澎湖縣|雲林縣|彰化縣|宜蘭縣|臺東縣|桃園縣|嘉義市|新竹縣|高雄市","SA0",24174,"2014-06"
"人口統計","最小統計區","103Y12M","彰化縣|臺南市|嘉義縣|連江縣|雲林縣|屏東縣|新竹市|臺東縣|臺北市|花蓮縣|澎湖縣|苗栗縣|南投縣|基隆市|嘉義市|金門縣|宜蘭縣|桃園縣|新竹縣|高雄市|新北市|臺中市","SA0",24180,"2014-12"
"人口統計","最小統計區","104Y06M","苗栗縣|連江縣|新竹縣|宜蘭縣|金門縣|澎湖縣|彰化縣|新竹市|南投縣|臺中市|花蓮縣|桃園市|基隆市|臺南市|嘉義市|臺北市|高雄市|新北市|雲林縣|嘉義縣|屏東縣|臺東縣","SA0",24186,"2015-06"
"人口統計","最小統計區","104Y12M","雲林縣|宜蘭縣|新北市|澎湖縣|嘉義縣|花蓮縣|新竹市|基隆市|高雄市|彰化縣|嘉義市|新竹縣|臺中市|南投縣|臺北市|屏東縣|桃園市|臺南市|苗栗縣|臺東縣|金門縣|連江縣","SA0",24192,"2015-12"
"人口統計","最小統計區","105Y06M","金門縣|屏東縣|新竹縣|南投縣|新北市|雲林縣|彰化縣|嘉義縣|臺南市|連江縣|臺東縣|宜蘭縣|澎湖縣|苗栗縣|臺中市|花蓮縣|桃園市|基隆市|新竹市|嘉義市|臺北市|高雄市","SA0",24198,"2016-06"
"人口統計","最小統計區","105Y12M","嘉義縣|新竹市|基隆市|桃園市|臺北市|嘉義市|彰化縣|金門縣|臺中市|雲林縣|南投縣|連江縣|屏東縣|新竹縣|臺南市|臺東縣|花蓮縣|宜蘭縣|澎湖縣|苗栗縣|新北市|高雄市","SA0",24204,"2016-12"
"人口統計","最小統計區","106Y06M","金門縣|高雄市|嘉義市|新北市|苗栗縣|臺中市|南投縣|臺南市|嘉義縣|宜蘭縣|基隆市|新竹縣|臺北市|屏東縣|桃園市|臺東縣|連江縣|花蓮縣|彰化縣|澎湖縣|雲林縣|新竹市","SA0",24210,"2017-06"
"人口統計","最小統計區","106Y12M","宜蘭縣|彰化縣|南投縣|雲林縣|新竹縣|新竹市|嘉義縣|臺北市|苗栗縣|桃園市|基隆市|連江縣|高雄市|嘉義市|新北市|金門縣|臺中市|屏東縣|臺南市|臺東縣|花蓮縣|澎湖縣","SA0",24216,"2017-12"
"人口統計","最小統計區","107Y06M","金門縣|宜蘭縣|桃園市|嘉義縣|苗栗縣|新竹縣|連江縣|屏東縣|南投縣|高雄市|彰化縣|臺東縣|基隆市|新北市|雲林縣|花蓮縣|嘉義市|臺中市|新竹市|澎湖縣|臺北市|臺南市","SA0",24222,"2018-06"
